OGNTsort	Español
000001	Libro
000002	de origen
000003	de Jesús
000004	Ungido
000005	hijo
000006	de David
000007	hijo
000008	de Abrahán
000009	Abrahán
000010	generó
000011	a el
000012	Isaac
000013	Isaac
000014	pero
000015	generó
000016	a el
000017	Jacob
000018	Jacob
000019	pero
000020	generó
000021	a el
000022	Judá
000023	y
000024	a los
000025	hermanos
000026	de él
000027	Judá
000028	pero
000029	generó
000030	a el
000031	Pérez
000032	y
000033	a el
000034	Zérah
000035	procedente de
000036	la
000037	Tamar
000038	Pérez
000039	pero
000040	generó
000041	a el
000042	Hezrón
000043	Hezrón
000044	pero
000045	generó
000046	a el
000047	Ram
000048	Ram
000049	pero
000050	generó
000051	a el
000052	Aminadab
000053	Aminadab
000054	pero
000055	generó
000056	a el
000057	Nahsón
000058	Nahsón
000059	pero
000060	generó
000061	a el
000062	Salmón
000063	Salmón
000064	pero
000065	generó
000066	a el
000067	Boaz
000068	procedente de
000069	la
000070	Rahab
000071	Boaz
000072	pero
000073	generó
000074	a el
000075	Obed
000076	procedente de
000077	la
000078	Rut
000079	Obed
000080	pero
000081	generó
000082	a el
000083	Jesé
000084	Jesé
000085	pero
000086	generó
000087	a el
000088	David
000089	el
000090	rey
000091	David
000092	pero
000093	generó
000094	a el
000095	Salomón
000096	procedente de
000097	la (esposa)
000098	de el
000099	Urías
000100	Salomón
000101	pero
000102	generó
000103	a el
000104	Rehoboam
000105	Rehoboam
000106	pero
000107	generó
000108	a el
000109	Abías
000110	Abías
000111	pero
000112	generó
000113	a el
000114	Asá
000115	Asá
000116	pero
000117	generó
000118	a el
000119	Jehosafat
000120	Jehosafat
000121	pero
000122	generó
000123	a el
000124	Jehoram
000125	Jehoram
000126	pero
000127	generó
000128	a el
000129	Uzías
000130	Uzías
000131	pero
000132	generó
000133	a el
000134	Jotán
000135	Jotán
000136	pero
000137	generó
000138	a el
000139	Acaz
000140	Acaz
000141	pero
000142	generó
000143	a el
000144	Ezequías
000145	Ezequías
000146	pero
000147	generó
000148	a el
000149	Manasés
000150	Manasés
000151	pero
000152	generó
000153	a el
000154	Amón
000155	Amón
000156	pero
000157	generó
000158	a el
000159	Josías
000160	Josías
000161	pero
000162	generó
000163	a el
000164	Jeconías
000165	y
000166	a los
000167	hermanos
000168	de él
000169	sobre
000170	el
000171	cambio de casa
000172	(a) Babilonia
000173	Después
000174	pero
000175	el
000176	cambio de casa
000177	(a) Babilonia
000178	Jeconías
000179	generó
000180	a el
000181	Sealtiel
000182	Sealtiel
000183	pero
000184	generó
000185	a el
000186	Zorobabel
000187	Zorobabel
000188	pero
000189	generó
000190	a el
000191	Abiud
000192	Abiud
000193	pero
000194	generó
000195	a el
000196	Eliaquim
000197	Eliaquim
000198	pero
000199	generó
000200	a el
000201	Azor
000202	Azor
000203	pero
000204	generó
000205	a el
000206	Sadoc
000207	Sadoc
000208	pero
000209	generó
000210	a el
000211	Aquim
000212	Aquim
000213	pero
000214	generó
000215	a el
000216	Eliud
000217	Eliud
000218	pero
000219	generó
000220	a el
000221	Eleazar
000222	Eleazar
000223	pero
000224	generó
000225	a el
000226	Mattán
000227	Mattán
000228	pero
000229	generó
000230	a el
000231	Jacob
000232	Jacob
000233	pero
000234	generó
000235	a el
000236	José
000237	el
000238	esposo
000239	de María
000240	procedente de
000241	quien
000242	fue generado
000243	Jesús
000244	el
000245	estando siendo dicho
000246	Ungido
000247	Todas
000248	por lo tanto
000249	las
000250	generaciones
000251	desde
000252	Abrahán
000253	hasta
000254	David
000255	generaciones
000256	catorce
000257	y
000258	desde
000259	David
000260	hasta
000261	el
000262	cambio de casa
000263	(a) Babilonia
000264	generaciones
000265	catorce
000266	y
000267	desde
000268	el
000269	cambio de casa
000270	(a) Babilonia
000271	hasta
000272	el
000273	Ungido
000274	generaciones
000275	catorce
000276	De el
000277	pero
000278	Jesús
000279	Ungido
000280	el
000281	origen
000282	así
000283	estaba siendo
000284	habiendo sido comprometida
000285	la
000286	madre
000287	de él
000288	María
000289	a el
000290	José
000291	antes
000292	de
000293	venir a juntar
000294	ellos
000295	fue hallada
000296	en
000297	vientre
000298	estando teniendo
000299	procedente de
000300	espíritu
000301	santo
000302	José
000303	pero
000304	el
000305	esposo
000306	de ella
000307	justo
000308	estando siendo
000309	y
000310	no
000311	estando queriendo
000312	a ella
000313	exponer públicamente
000314	tuvo la intención
000315	privadamente
000316	divorciar
000317	a ella
000318	Estas (cosas)
000319	pero
000320	de él
000321	habiendo reflexionado
000322	mira
000323	mensajero
000324	de Señor
000325	según
000326	sueño
000327	fue hecho aparecer
000328	a él
000329	estando diciendo
000330	José
000331	hijo
000332	de David
000333	no
000334	temas
000335	tomar contigo
000336	a María
000337	la
000338	esposa
000339	tuya
000340	lo
000341	porque
000342	en
000343	ella
000344	habiendo sido generado
000345	procedente de
000346	espíritu
000347	está siendo
000348	santo
000349	Dará a luz
000350	pero
000351	hijo
000352	y
000353	llamarás
000354	el
000355	nombre
000356	de él
000357	Jesús
000358	él
000359	porque
000360	salvará
000361	a el
000362	pueblo
000363	de él
000364	desde
000365	los
000366	pecados
000367	de ellos
000368	Esto
000369	pero
000370	entero
000371	ha llegado a ser
000372	para que
000373	sea llenado a plenitud
000374	lo
000375	habiendo sido hablado
000376	por
000377	Señor
000378	a través de
000379	el
000380	vocero
000381	estando diciendo
000382	Mira
000383	la
000384	virgen
000385	en
000386	vientre
000387	tendrá
000388	y
000389	dará a luz
000390	hijo
000391	y
000392	llamarán
000393	el
000394	nombre
000395	de él
000396	Emmanuel
000397	cual
000398	es
000399	estando siendo traducido
000400	Con
000401	nosotros
000402	el
000403	Dios
000404	Habiendo sido levantado
000405	pero
000406	el
000407	José
000408	desde
000409	el
000410	sueño
000411	hizo
000412	como
000413	ordenó
000414	a él
000415	el
000416	mensajero
000417	de Señor
000418	y
000419	tomó consigo
000420	a la
000421	esposa
000422	de él
000423	Y
000424	no
000425	estaba conociendo
000426	a ella
000427	hasta
000428	que
000429	dio a luz
000430	a hijo
000431	y
000432	llamó
000433	el
000434	nombre
000435	de él
000436	Jesús
000437	De el
000438	pero
000439	Jesús
000440	habiendo sido generado
000441	en
000442	Belén
000443	de la
000444	Judea
000445	en
000446	días
000447	de Herodes
000448	el
000449	rey
000450	mira
000451	magos
000452	desde
000453	partes orientales
000454	llegaron a ser al lado de
000455	hacia dentro
000456	Jerusalén
000457	estando diciendo
000458	¿Dónde
000459	está siendo
000460	el
000461	habiendo sido hecho nacer
000462	rey
000463	de los
000464	judíos?
000465	Vimos
000466	porque
000467	de él
000468	la
000469	estrella
000470	en
000471	el
000472	este
000473	y
000474	vinimos
000475	(a) postrar en reverencia
000476	(ante) él
000477	Habiendo oído
000478	pero
000479	el
000480	rey
000481	Herodes
000482	fue agitado
000483	y
000484	toda
000485	Jerusalén
000486	con
000487	él
000488	Y
000489	habiendo reunido
000490	a todos
000491	los
000492	jefes de sacerdotes
000493	y
000494	escribas
000495	de el
000496	pueblo
000497	estaba inquiriendo
000498	al lado de
000499	ellos
000500	dónde
000501	el
000502	Ungido
000503	esté siendo generado
000504	Los
000505	pero
000506	dijeron
000507	a él
000508	En
000509	Belén
000510	de la
000511	Judea
000512	así
000513	porque
000514	ha sido escrito
000515	a través de
000516	el
000517	vocero
000518	Y
000519	tú
000520	Belén
000521	tierra
000522	de Judá
000523	de ninguna manera
000524	más pequeño
000525	estás siendo
000526	en
000527	los
000528	gobernadores
000529	de Judá
000530	procedente de
000531	ti
000532	porque
000533	vendrá hacia fuera
000534	estando gobernando
000535	quien
000536	pastoreará
000537	a el
000538	pueblo
000539	mío
000540	el
000541	Israel
000542	Entonces
000543	Herodes
000544	privadamente
000545	habiendo llamado
000546	a los
000547	magos
000548	averiguó cuidadosamente
000549	al lado de
000550	ellos
000551	el
000552	tiempo
000553	de la
000554	estando siendo aparecida
000555	estrella
000556	Y
000557	habiendo enviado
000558	a ellos
000559	hacia dentro
000560	Belén
000561	dijo
000562	Habiendo ido en camino
000563	busquen completamente
000564	cuidadosamente
000565	acerca de
000566	el
000567	niñito
000568	cuando
000569	pero
000570	hallen
000571	den mensaje
000572	a mí
000573	para que
000574	yo también
000575	habiendo venido
000576	(me) postre en reverencia
000577	(ante) él
000578	Los
000579	pero
000580	habiendo oído
000581	de el
000582	rey
000583	fueron en camino
000584	y
000585	mira
000586	la
000587	estrella
000588	cual
000589	vieron
000590	en
000591	el
000592	este
