OGNTsort	extendedStrNo	RMAC	SpanishDescription
000001	G976	N-NSF	SustaNtivo, Nominativo, Singular, Femenino
000002	G1078	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
000003	G2424	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000004	G5547	N-GSM-T	SustaNtivo, Genitivo, Singular, Masculino, Título
000005	G5207	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000006	G1138	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000007	G5207	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
000008	G11	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000009	G11	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000010	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000011	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000012	G2464	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000013	G2464	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000014	G1161	CONJ	CONJunción o partícula cunjuntiva
000015	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000016	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000017	G2384	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000018	G2384	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000019	G1161	CONJ	CONJunción o partícula cunjuntiva
000020	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000021	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000022	G2455	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000023	G2532	CONJ	CONJunción o partícula cunjuntiva
000024	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
000025	G80	N-APM	SustaNtivo, Acusativo, Plural, Masculino
000026	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
000027	G2455	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000028	G1161	CONJ	CONJunción o partícula cunjuntiva
000029	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000030	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000031	G5329	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000032	G2532	CONJ	CONJunción o partícula cunjuntiva
000033	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000034	G2196	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000035	G1537	PREP	PREPosición
000036	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000037	G2283	N-GSF-P	SustaNtivo, Genitivo, Singular, Femenino, Persona
000038	G5329	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000039	G1161	CONJ	CONJunción o partícula cunjuntiva
000040	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000041	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000042	G2074	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000043	G2074	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000044	G1161	CONJ	CONJunción o partícula cunjuntiva
000045	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000046	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000047	G689	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000048	G689	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000049	G1161	CONJ	CONJunción o partícula cunjuntiva
000050	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000051	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000052	G284	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000053	G284	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000054	G1161	CONJ	CONJunción o partícula cunjuntiva
000055	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000056	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000057	G3476	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000058	G3476	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000059	G1161	CONJ	CONJunción o partícula cunjuntiva
000060	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000061	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000062	G4533	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000063	G4533	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000064	G1161	CONJ	CONJunción o partícula cunjuntiva
000065	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000066	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000067	G1003	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000068	G1537	PREP	PREPosición
000069	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000070	G4477	N-GSF-P	SustaNtivo, Genitivo, Singular, Femenino, Persona
000071	G1003	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000072	G1161	CONJ	CONJunción o partícula cunjuntiva
000073	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000074	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000075	G5601	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000076	G1537	PREP	PREPosición
000077	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000078	G4503	N-GSF-P	SustaNtivo, Genitivo, Singular, Femenino, Persona
000079	G5601	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000080	G1161	CONJ	CONJunción o partícula cunjuntiva
000081	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000082	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000083	G2421	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000084	G2421	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000085	G1161	CONJ	CONJunción o partícula cunjuntiva
000086	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000087	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000088	G1138	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000089	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000090	G935	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
000091	G1138	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
000092	G1161	CONJ	CONJunción o partícula cunjuntiva
000093	G1080	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
000094	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
000095	G4672	N-ASM-P	SustaNtivo, Acusativo, Singular, Masculino, Persona
000096	G1537	PREP	PREPosición
000097	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
000098	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
000099	G3774	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
000100	G4672	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
